destination,airline,flightDate,scheduledDeparture,scheduledArrival,callSign,equipment,aircraft,flightNumber
Colombo,,6:15 PM,,,,320,,UL186
Karachi,,8:05 PM,,,,320,,9P847
Dammam,,8:25 PM,,,,320,,PF742
Sharjah,,9:00 PM,,,,320,,9P502
Kuala Lumpur,,9:25 PM,,,,738,,OD132
Sharjah,,9:35 PM,,,,320,,PK185
Nanning,,10:25 PM,,,,75F,,YG9148
Kunming,,10:40 PM,,,,75F,,YG9090
Dubai,,11:05 PM,,,,A320,,PK135
Karachi,,11:25 PM,,,,332,,ER525
Bangkok,,11:40 PM,,,,359,,TG346
Jeddah,,11:50 PM,,,,320,,PA472
Dubai,,11:55 PM,,,,321,,PA416
Sharjah,,11:59 PM,,,,A320,,PK185
Sharjah,,12:15 AM,,,,320,,PA412
Istanbul,,2:25 AM,,,,333,,TK715
Kuwait City,,3:00 AM,,,,320,,J9502
Doha,,3:10 AM,,,,789,,QR621
Dubai,,3:30 AM,,,,77W,,EK623
Riyadh,,4:15 AM,,,,A20N,,XY318
Muscat,,4:20 AM,,,,32Q,,OV522
Abu Dhabi,,4:35 AM,,,,A321,,EY242
Kuwait City,,5:15 AM,,,,32A,,KU204
Dubai,,5:45 AM,,,,7M8,,FZ360
Jeddah,,6:50 AM,,,,320,,PF716
Karachi,,7:15 AM,,,,320,,9P841
Skardu,,7:30 AM,,,,A320,,PK453
Jeddah,,8:00 AM,,,,B772,,PK761
Skardu,,9:30 AM,,,,A320,,PK453
Dubai,,9:45 AM,,,,77W,,EK625
Doha,,9:55 AM,,,,789,,QR629
Karachi,,10:00 AM,,,,320,,PF142
Karachi,,10:00 AM,,,,320,,PA401
Kuwait City,,10:35 AM,,,,32A,,KU204
Jeddah,,10:45 AM,,,,B77W,,SV735
Karachi,,11:00 AM,,,,A320,,PK303
Dubai,,11:30 AM,,,,7M8,,FZ360
Sharjah,,12:45 PM,,,,320,,9P500
Doha,,1:10 PM,,,,A320,,PK279
Dubai,,2:55 PM,,,,320,,PA410
Karachi,,3:00 PM,,,,320,,9P843
Quetta,,4:15 PM,,,,73H,,ER543
Karachi,Pakistan International Airlines,5:00 PM,5:00 PM,6:45 PM,N/A,A320,Airbus A320-214,PK305
